scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
7  -32 (4112,4220)     0 -24273 10000000000 1636686.3  1.3e+08    54.9    56.0    58.4   7.6   4.23
8  -32 (4112,4220)     0 -21981 10000000000 2292809.5  1.5e+08    44.9    45.8    46.9   7.3   4.39
9  -32 (4112,4220)     0 -16928 10000000000 698521.7  8.4e+07    48.6    49.4    50.7   7.4   4.33
10  -32 (4112,4220)     0 -25826 10000000000 1976972.2  1.4e+08    56.2    57.4    59.9   7.6   4.21
11  -32 (4112,4220)     0 -19710 10000000000 874055.1  9.3e+07    55.8    56.9    59.2   7.6   4.21
12  -32 (4112,4220)     0 -15724 10000000000 1173252.7  1.1e+08    50.9    51.8    53.4   7.5   4.29
13  -32 (4112,4220)     0 -11763 10000000000 1198260.8  1.1e+08    56.7    57.7    60.1   7.6   4.20


scn_mbs_osi_runID_004_00162_Int-400_Exp-10800_09Oct16_13:51_to_09Oct16_16:55.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4439 10000000000 591461.7  7.7e+07    52.9    54.4    56.9   7.5   4.26
1  -32 (4112,4220)     0 -19225 10000000000 845524.3  9.2e+07    60.1    62.1    65.1   7.7   4.16
2  -32 (4112,4220)     0 -19217 10000000000 396931.7  6.3e+07    43.1    43.7    45.7   7.2   4.43
3  -32 (4112,4220)     0  -8570 10000000000 410024.7  6.4e+07    44.8    45.5    47.6   7.3   4.40
4  -32 (4112,4220)     0 -11145 10000000000 897208.0  9.5e+07    36.7    37.2    38.8   7.0   4.58
5  -32 (4112,4220)     0 -18331 10000000000 329098.4  5.7e+07    35.1    35.4    36.6   6.9   4.62
6  -32 (4112,4220)     0 -25018 10000000000 956150.3  9.8e+07    51.1    52.3    55.0   7.5   4.28
7  -32 (4112,4220)     0 -24308 10000000000 1056095.9  1.0e+08    55.5    56.6    59.4   7.6   4.22
8  -32 (4112,4220)     0 -22002 10000000000 1572431.9  1.3e+08    42.1    42.6    44.4   7.2   4.45
9  -32 (4112,4220)     0 -16970 10000000000 460003.7  6.8e+07    45.9    46.5    48.6   7.3   4.38
10  -32 (4112,4220)     0 -26077 10000000000 1306564.2  1.1e+08    56.4    57.8    60.7   7.6   4.20
11  -32 (4112,4220)     0 -19633 10000000000 732500.4  8.6e+07    56.7    58.1    60.8   7.6   4.20
12  -32 (4112,4220)     0 -15650 10000000000 859773.4  9.3e+07    48.3    49.1    51.4   7.4   4.33
13  -32 (4112,4220)     0 -11574 10000000000 848499.1  9.2e+07    57.4    58.9    61.8   7.6   4.19

scn_mbs_osi_runID_004_00163_Int-400_Exp-10800_09Oct16_17:11_to_09Oct16_20:14.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4356 10000000000 330924.5  5.8e+07    58.0    59.9    62.0   7.7   4.18
1  -32 (4112,4220)     0 -18814 10000000000 578447.3  7.6e+07    67.5    70.1    72.4   7.9   4.07
2  -32 (4112,4220)     0 -19004 10000000000 332115.8  5.8e+07    45.5    46.3    48.2   7.3   4.38
3  -32 (4112,4220)     0 -10097 10000000000 305938.8  5.5e+07    47.5    48.5    50.3   7.4   4.35
4  -32 (4112,4220)     0 -11191 10000000000 553381.0  7.4e+07    37.8    38.3    39.8   7.0   4.55
5  -32 (4112,4220)     0 -17710 10000000000 232146.2  4.8e+07    36.4    36.7    37.8   7.0   4.59
6  -32 (4112,4220)     0 -25015 10000000000 735472.7  8.6e+07    56.7    58.5    60.7   7.6   4.20
7  -32 (4112,4220)     0 -24163 10000000000 703355.5  8.4e+07    62.1    63.6    65.7   7.7   4.13
8  -32 (4112,4220)     0 -22049 10000000000 1013256.3  1.0e+08    43.5    44.1    45.8   7.2   4.42
9  -32 (4112,4220)     0 -16920 10000000000 407075.6  6.4e+07    48.4    49.3    51.2   7.4   4.33
10  -32 (4112,4220)     0 -25979 10000000000 930032.1  9.6e+07    63.4    65.4    67.8   7.8   4.11
11  -32 (4112,4220)     0 -19648 10000000000 552871.6  7.4e+07    63.6    65.5    67.7   7.8   4.11
12  -32 (4112,4220)     0 -15646 10000000000 675390.0  8.2e+07    52.3    53.3    55.4   7.5   4.27
13  -32 (4112,4220)     0 -11182 10000000000 755132.6  8.7e+07    65.1    67.1    69.3   7.8   4.09


scn_mbs_osi_runID_004_00164_Int-400_Exp-10800_09Oct16_20:30_to_09Oct16_23:34.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4340 10000000000 335109.1  5.8e+07    63.8    65.8    67.5   7.8   4.11
1  -32 (4112,4220)     0 -16000 10000000000 842003.1  9.2e+07    74.8    77.5    79.3   8.0   3.99
2  -32 (4112,4220)     0 -19066 10000000000 307146.2  5.5e+07    50.0    51.1    52.4   7.4   4.30
3  -32 (4112,4220)     0 -10143 10000000000 317861.4  5.6e+07    52.6    53.9    55.3   7.5   4.26
4  -32 (4112,4220)     0 -11204 10000000000 533770.7  7.3e+07    41.1    41.9    43.0   7.2   4.47
5  -32 (4112,4220)     0 -16688 10000000000 228597.2  4.8e+07    39.2    39.7    40.5   7.1   4.52
6  -32 (4112,4220)     0 -25080 10000000000 638529.5  8.0e+07    62.8    64.6    66.3   7.8   4.12
7  -32 (4112,4220)     0 -24103 10000000000 715877.0  8.5e+07    68.2    69.9    71.8   7.9   4.06
8  -32 (4112,4220)     0 -21898 10000000000 1003764.8  1.0e+08    47.4    48.3    49.5   7.4   4.35
9  -32 (4112,4220)     0 -16803 10000000000 458853.6  6.8e+07    53.6    54.8    56.1   7.5   4.25
10  -32 (4112,4220)     0 -25790 10000000000 1010964.4  1.0e+08    70.7    72.8    74.7   7.9   4.03
11  -32 (4112,4220)     0 -19444 10000000000 568373.5  7.5e+07    70.9    73.0    74.8   7.9   4.03
